,Number of songs voted,Number of voters,Percentage of voters
0,13,415,11
1,12,73,2
2,11,34,1
3,10,33,1
4,9,23,1
5,8,45,1
6,7,47,1
7,6,66,2
8,5,73,2
9,4,97,3
10,3,134,4
11,2,208,5
12,1,2578,67
